from,to,distance
11t,bkp105t,19.597892808443877
11t,bkp112t,11.95367811087699
11t,bkp114t,5.997418988561388
11t,bkp116t,3.9031952931669522
11t,bkp117t,13.950858422256323
11t,bkp118t,17.347591288381487
11t,bkp119t,5.122889980735638
11t,bkp121t,16.36225525936158
11t,bkp120t,16.963967987804537
11t,bkp122t,5.4539189136385415
11t,bkp123t,4.175119990434573
11t,bkp124t,11.254429180145987
11t,bkp126t,22.612061769149598
11t,bkp125t,11.09498732248425
11t,bkp128t,23.396033217244867
11t,bkp127t,24.02637387107355
11t,bkp129t,32.14939435473611
11t,bkp130t,12.432723434426384
11t,bkp131t,11.699071296618838
11t,bkp133t,8.386103109518434
11t,bkp56t,2.1926349579996076
11t,bkp57t,8.830739909247637
11t,bkp58t,12.72670226952626
11t,bkp59t,4.535678368504985
11t,bkp60t,5.581295326465214
11t,bkp62t,7.747756654843879
11t,bkp61t,6.577714401166667
11t,bkp64t,3.8702419783043696
11t,bkp66t,6.587181726131499
11t,bkp67t,9.081028566010863
11t,bkp69t,11.373996975534324
11t,bkp70t,5.2890339377049065
11t,bkp65t,6.706174531447672
11t,bkp71t,9.970153209573889
11t,bkp72t,13.801404046632452
11t,bkp74t,15.048476281963795
11t,bkp73t,7.970506167698497
11t,bkp80t,32.55160363030674
11t,bkp79t,27.30255681336756
11t,bkp81t,12.278969554760925
11t,bkp78t,23.641363196724484
11t,bkp77t,13.020256420196059
11t,bkp82t,12.296659147154982
11t,bkp76t,8.194809510552396
11t,bkp75t,16.28478571857053
11t,o26,53.785980825008004
11t,14t,28.274691652029723
11t,18t,19.860366832452037
11t,17t,14.89603971568882
11t,08t,12.758102628789144
11t,22t,15.469275138411405
11t,13t,9.854835316530902
11t,20t,29.621798244588582
11t,81t,56.18072522519995
11t,o10,8.440780723825394
11t,bkp98t,11.093849394423186
11t,bkp97t,12.375233340526988
11t,bkp99t,12.278112871173404
11t,bkp95t,5.282541681851576
11t,bkp93t,0.7631167841918841
11t,27t,41.71645507705057
11t,16t,17.332900875123176
11t,bkp96t,4.848014537475414
11t,bkp92t,8.041428673745676
11t,bkp91t,16.1506753741726
11t,bkp89t,26.555057041600012
11t,bkp87t,23.72390090559902
11t,bkp85t,10.346416086118921
11t,19t,31.798851155107986
11t,o63,12.594446254295773
11t,bkp90t,26.496053515647315
11t,bkp88t,14.232210553802753
11t,bkp86t,15.764693748959779
11t,bkp94t,7.688901360168293
11t,bkp84t,11.900537497070525
11t,bkp83t,9.266634568925657
11t,bkp63t,4.320028010451504
12t,02t,6.744473949099778
12t,03t,16.512291166148593
12t,11t,8.149972138877466
12t,12t,0.0
12t,50t,3.042850411902372
12t,52t,6.939373961045612
12t,53t,10.979381904383404
12t,54t,6.3766219985877886
12t,59t,8.201687394020245
12t,61t,9.94079827461699
12t,bkp100t,15.824250142964097
12t,bkp101t,23.99643701841017
12t,bkp102t,7.559157874350693
12t,bkp103t,10.64502980503822
12t,bkp104t,14.950874401731175
12t,bkp105t,13.133833342930552
12t,bkp112t,5.073013990625951
12t,bkp114t,2.7407874785763537
12t,bkp116t,11.1735015335644
12t,bkp117t,12.826211735091938
12t,bkp118t,20.937084891524325
12t,bkp119t,3.3677966035678732
12t,bkp121t,8.605631282731782
12t,bkp120t,24.747497297333922
12t,bkp122t,2.730843235236879
12t,bkp123t,11.142788832469959
12t,bkp124t,11.145242468541536
12t,bkp126t,17.7068416919596
12t,bkp125t,16.36088919729647
12t,bkp128t,25.33438496324758
12t,bkp127t,21.433438589605302
12t,bkp129t,37.44059881103867
12t,bkp130t,20.562124551784937
12t,bkp131t,3.9779923882008283
12t,bkp133t,8.899107039807982
12t,bkp56t,6.9778560864793455
12t,bkp57t,5.956400192915692
12t,bkp58t,5.281268039864254
12t,bkp59t,5.921821523140498
12t,bkp60t,8.269555009565734
12t,bkp62t,4.9570260118911005
12t,bkp61t,6.574280343739836
12t,bkp64t,8.957071884349325
12t,bkp66t,2.4394038109206826
12t,bkp67t,2.2468674568345843
12t,bkp69t,3.3594425528250036
12t,bkp70t,4.989022527552005
12t,bkp65t,3.5697806970012183
12t,bkp71t,11.548847771591243
12t,bkp72t,10.481100307951829
12t,bkp74t,23.114092732134637
12t,bkp73t,15.891673555023848
12t,bkp80t,37.84104800519392
12t,bkp79t,34.68597349957457
12t,bkp81t,11.027494925229677
12t,bkp78t,25.642561828091605
12t,bkp77t,18.39397919911526
12t,bkp82t,6.652545632927512
12t,bkp76t,12.638092421487535
12t,bkp75t,24.215456641406345
12t,o26,47.677565126333135
12t,14t,24.391562432593926
12t,18t,13.150076703775193
12t,17t,6.756699218546765
12t,08t,4.7022097918315415
12t,22t,22.7096059764087
12t,13t,16.391567596220433
12t,20t,37.66535129526117
12t,81t,54.872659160129665
12t,o10,13.004526071459889
12t,bkp98t,19.217168480267322
12t,bkp97t,20.3299275152883
12t,bkp99t,16.465421954589527
12t,bkp95t,11.419698150115662
12t,bkp93t,8.457608614257982
12t,27t,35.19172836569029
12t,16t,9.712770904598363
12t,bkp96t,12.527571382122458
12t,bkp92t,8.262127236089412
12t,bkp91t,8.297579819489302
12t,bkp89t,22.268593471156088
12t,bkp87t,21.215674084125954
12t,bkp85t,9.482431055135333
12t,19t,28.647570695652263
12t,o63,7.674067235897917
12t,bkp90t,20.381747899758608
12t,bkp88t,10.247605632245335
12t,bkp86t,15.419754253734224
12t,bkp94t,3.9551633375231052
12t,bkp84t,8.33245699936063
12t,bkp83t,6.1231629317361245
12t,bkp63t,8.463329235861957
50t,02t,4.956834219653577
50t,03t,16.934222716468206
50t,11t,6.254479334718051
50t,12t,3.042850411902372
50t,50t,0.0
50t,52t,5.398214613974317
50t,53t,9.323865757402858
50t,54t,4.035273315064884
50t,59t,5.34899781111604
